,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
270,Marienburg,20,SR,9/8/17 22:00,83,5.85,-55.02,77,4.7
271,Marmande,0,FR,9/8/17 22:30,93,44.5,0.17,60.8,5.82
272,Matagami,1,CA,9/8/17 22:00,100,49.75,-77.63,37.4,3.36
273,Matara,92,LK,9/8/17 22:55,100,5.95,80.54,74.93,11.68
274,Mayenne,92,FR,9/8/17 22:55,99,48.3,-0.62,53.15,8.88
275,Mehamn,12,NO,9/8/17 22:53,80,71.04,27.85,46.76,17.05
276,Menongue,0,AO,9/8/17 22:55,29,-14.66,17.69,62.6,4.85
277,Mercedes,92,AR,9/8/17 22:55,94,-34.65,-59.43,58.64,11.45
278,Meulaboh,92,ID,9/8/17 22:55,100,4.14,96.13,82.31,3.74
279,Micheweni,68,TZ,9/8/17 22:55,100,-4.97,39.83,76.73,14.92
280,Middelkerke,75,BE,9/8/17 22:30,87,51.16,2.84,53.6,5.82
281,Millinocket,75,US,9/8/17 21:56,93,45.66,-68.71,55.4,3.36
282,Mineros,0,BO,9/8/17 22:00,69,-17.12,-63.23,78.8,18.34
283,Miraflores,92,CO,9/8/17 22:55,99,1.34,-71.95,70.7,2.17
284,Xarqueada,88,BR,9/8/17 22:55,35,-9.49,-48.36,86,6.98
285,Misratah,12,LY,9/8/17 22:55,86,32.38,15.09,81.68,1.61
286,Mlimba,56,TZ,9/8/17 22:55,57,-8.8,35.82,74.3,2.95
287,Mogadishu,64,SO,9/8/17 22:55,100,2.04,45.34,77.81,17.72
288,Monrovia,88,LR,9/8/17 22:55,100,6.3,-10.8,76.82,4.41
289,Mont-de-Marsan,100,FR,9/8/17 22:30,93,43.89,-0.5,60.8,4.7
290,Montevideo,90,UY,9/8/17 22:00,93,-34.83,-56.17,59,11.41
291,Mosquera,75,CO,9/8/17 22:00,87,4.71,-74.23,55.4,3.36
292,Mozhaysk,24,RU,9/8/17 22:55,98,55.5,36.03,54.59,7.43
293,Muros,40,ES,9/8/17 22:30,93,42.78,-9.06,55.4,2.24
294,Mus,0,TR,9/8/17 21:50,27,38.75,41.51,62.6,4.7
295,Mustasaari,56,FI,9/8/17 22:20,100,63.17,21.67,44.6,4.7
296,Mutoko,0,ZW,9/8/17 22:55,44,-17.4,32.23,68.63,4.63
297,Mvangue,88,CM,9/8/17 22:55,94,2.97,11.52,69.44,2.84
298,Mwinilunga,0,ZM,9/8/17 22:55,40,-11.74,24.43,67.01,4.41
299,Nagod,0,IN,9/8/17 22:55,66,24.57,80.6,92.57,4.41
300,Namibe,88,AO,9/8/17 22:55,97,-15.2,12.15,67.28,5.97
301,Nampula,20,MZ,9/8/17 22:00,93,-15.12,39.27,64.4,4.7
302,Nanortalik,88,GL,9/8/17 22:55,87,60.14,-45.24,40.01,26.33
303,Nantucket,1,US,9/8/17 22:35,87,41.28,-70.1,60.8,12.8
304,Narodychi,0,UA,9/8/17 22:55,86,51.2,29.08,57.56,4.63
305,Narsaq,92,GL,9/8/17 21:50,85,60.92,-46.05,44.6,16.11
306,Naryan-Mar,0,RU,9/8/17 22:55,90,67.67,53.09,42.35,14.7
307,Natal,75,BR,9/8/17 22:00,94,-5.79,-35.21,71.6,5.82
308,Saquena,20,PE,9/8/17 22:55,88,-4.67,-73.52,75.2,4.07
309,Necochea,92,AR,9/8/17 22:55,100,-38.55,-58.74,45.86,5.97
310,Nema,92,RU,9/8/17 22:55,100,57.51,50.5,52.34,13.35
311,Nikolo-Pavlovskoye,92,RU,9/8/17 22:55,100,57.78,60.06,45.77,10.22
312,Krasnyy Bor,40,RU,9/8/17 22:30,93,59.68,30.67,51.8,6.71
313,Niscemi,0,IT,9/8/17 22:20,93,37.15,14.39,64.4,3.36
314,Nivala,88,FI,9/8/17 22:55,98,63.92,25,50.81,5.19
315,Nouadhibou,0,MR,9/8/17 22:53,58,20.93,-17.03,77.99,10.33
316,Novopodrezkovo,75,RU,9/8/17 22:30,93,55.94,37.35,53.6,8.95
317,Mandol,0,AF,9/8/17 22:55,29,35.28,70.17,53.06,1.72
318,Ober-Ramstadt,75,DE,9/8/17 22:24,93,49.83,8.75,59,12.75
319,Ochsenfurt,75,DE,9/8/17 22:20,76,49.66,10.06,55.4,8.05
320,Oodweyne,0,SO,9/8/17 22:56,54,9.41,45.06,76.55,16.93
321,Oksfjord,0,NO,9/8/17 21:50,97,70.24,22.35,42.8,13.87
322,?lafsv?k,32,IS,9/8/17 22:56,100,64.89,-23.71,47.75,10.11
323,Olavarria,8,AR,9/8/17 22:56,92,-36.89,-60.32,48.83,10.22
324,Omboue,92,GA,9/8/17 22:56,100,-1.57,9.26,75.11,4.18
325,Oranjestad,20,AW,9/8/17 22:00,83,12.52,-70.03,84.2,9.17
326,Ostrovnoy,8,RU,9/8/17 22:56,81,68.05,39.51,44.42,21.85
327,Paamiut,12,GL,9/8/17 22:56,98,61.99,-49.67,39.56,16.37
328,Padre Paraiso,12,BR,9/8/17 22:56,90,-17.07,-41.48,57.11,6.2
329,Panaba,0,MX,9/8/17 22:56,96,21.28,-88.27,75.02,2.62
